node_id,type,ip_address,zone,shared,confidence,source
APP-LB-01,load_balancer,10.200.1.2,App Ingress,False,0.88,Prepared V3 annotation fallback
APP-01,server,10.200.1.3,App Tier,False,0.88,Prepared V3 annotation fallback
APP-02,server,10.200.1.4,App Tier,False,0.88,Prepared V3 annotation fallback
APP-03,server,10.200.1.5,App Tier,False,0.88,Prepared V3 annotation fallback
SERVICE-API-01,service,10.200.1.6,App Tier,False,0.88,Prepared V3 annotation fallback
DB-MASTER,database,10.200.1.7,DB Tier,False,0.88,Prepared V3 annotation fallback
DB-CACHE-01,server,10.200.1.8,DB Tier,False,0.88,Prepared V3 annotation fallback
DB-REPLICA-01,database,10.200.1.9,DB Tier,False,0.88,Prepared V3 annotation fallback
DB-REPLICA-02,database,10.200.1.10,DB Tier,False,0.88,Prepared V3 annotation fallback
DC-CORE-SW-01,switch,,Network,True,0.88,Prepared V3 annotation fallback
DC-AGG-SW-01,switch,,Network,True,0.88,Prepared V3 annotation fallback
IAM-01,service,,Shared Services,True,0.88,Prepared V3 annotation fallback
DNS-01,service,,Shared Services,True,0.88,Prepared V3 annotation fallback
